title,url_alias,body_full_html,meta_description,social_image_url,social_image_alt,difficulty,topics,questions,status
T.R. in the Badlands,/quiz/badlands,"<div data-trpl-quiz=""badlands""></div>
<script src=""https://quiz.labs.trlibrary.com/assets/js/embed.js"" async></script>",In 1883 a bespectacled New York assemblyman got off a train in Dakota Territory to hunt buffalo. He left three years later a cattleman.,https://quiz.labs.trlibrary.com/assets/img/badlands/tr-1885-portrait.jpg,"Theodore Roosevelt in buckskin, photographed in 1885",Standard,The Badlands; Early Life,15,Draft
The Making of a Boy,/quiz/early-life,"<div data-trpl-quiz=""early-life""></div>
<script src=""https://quiz.labs.trlibrary.com/assets/js/embed.js"" async></script>","Asthma nearly killed him. A bedroom museum, a taxidermy tutor, and a father who told him to make his body.",https://quiz.labs.trlibrary.com/assets/img/early-life/teedie-age-two.jpg,"Theodore Roosevelt as a small boy, about two years old",Introductory,Early Life; Family & Home,15,Draft
The Youngest Man in the Assembly,/quiz/new-york-politics,"<div data-trpl-quiz=""new-york-politics""></div>
<script src=""https://quiz.labs.trlibrary.com/assets/js/embed.js"" async></script>","Elected at twenty-three, dismissed as a dude, and fighting the machine within a year. Fifteen questions on Roosevelt's first taste of power.",https://quiz.labs.trlibrary.com/assets/img/new-york-politics/assembly-composite-1882.jpg,"The New York State Assembly, 1882-1884",Challenging,Politics & Power; Early Life,15,Draft
Fifteen Years to the White House,/quiz/rise-to-power,"<div data-trpl-quiz=""rise-to-power""></div>
<script src=""https://quiz.labs.trlibrary.com/assets/js/embed.js"" async></script>","Civil service reformer, police commissioner, governor, vice president — and then Buffalo. Fifteen questions on the climb.",https://quiz.labs.trlibrary.com/assets/img/rise-to-power/assistant-secretary-navy.jpg,Theodore Roosevelt as Assistant Secretary of the Navy,Standard,Politics & Power,15,Draft
The Rough Riders,/quiz/rough-riders,"<div data-trpl-quiz=""rough-riders""></div>
<script src=""https://quiz.labs.trlibrary.com/assets/js/embed.js"" async></script>","A volunteer cavalry regiment of cowboys, Ivy League athletes, and lawmen, raised in weeks. Fifteen questions on 1898.",https://quiz.labs.trlibrary.com/assets/img/rough-riders/rough-riders-top-of-hill.jpg,Roosevelt and the Rough Riders on the captured hill,Standard,War & Service; Politics & Power,15,Draft
The Square Deal,/quiz/presidency,"<div data-trpl-quiz=""presidency""></div>
<script src=""https://quiz.labs.trlibrary.com/assets/js/embed.js"" async></script>","Forty-two years old and suddenly president. Trusts, coal strikes, a canal, and a Nobel Prize. Fifteen questions on eight years.",https://quiz.labs.trlibrary.com/assets/img/presidency/tr-private-office.jpg,Theodore Roosevelt in his private office,Introductory,The Presidency; Politics & Power,15,Draft
Two Hundred and Thirty Million Acres,/quiz/conservation,"<div data-trpl-quiz=""conservation""></div>
<script src=""https://quiz.labs.trlibrary.com/assets/js/embed.js"" async></script>","Parks, forests, monuments, bird reserves — the legacy that outlasted everything else he did. Fifteen questions on what he saved.",https://quiz.labs.trlibrary.com/assets/img/conservation/muir-glacier-point.jpg,"Theodore Roosevelt and John Muir on Glacier Point, Yosemite",Standard,Conservation; The Presidency,15,Draft
After the White House,/quiz/post-presidency,"<div data-trpl-quiz=""post-presidency""></div>
<script src=""https://quiz.labs.trlibrary.com/assets/js/embed.js"" async></script>","An African safari, a third-party crusade, a bullet in the chest, and an unmapped river in the Amazon. Fifteen questions on his last decade.",https://quiz.labs.trlibrary.com/assets/img/post-presidency/safari-akeley-elephant.jpg,Roosevelt and Carl Akeley on the African expedition,Standard,Adventure & Exploration; Politics & Power,15,Draft
The People Around Him,/quiz/people,"<div data-trpl-quiz=""people""></div>
<script src=""https://quiz.labs.trlibrary.com/assets/js/embed.js"" async></script>","Edith, John Muir, Booker T. Washington, and the rivals who sharpened him. Fifteen questions on the company he kept.",https://quiz.labs.trlibrary.com/assets/img/family/edith-portrait.jpg,Portrait of Edith Kermit Carow Roosevelt,Challenging,Politics & Power; Family & Home,15,Draft
Life at Sagamore Hill,/quiz/family,"<div data-trpl-quiz=""family""></div>
<script src=""https://quiz.labs.trlibrary.com/assets/js/embed.js"" async></script>","Six children, a pony in the White House lift, and a family tree that reaches Eleanor and Franklin. Fifteen questions on the Roosevelts at home.",https://quiz.labs.trlibrary.com/assets/img/family/family-portrait.jpg,Roosevelt family portrait,Introductory,Family & Home,15,Draft
